DB 1 MOTIF	5-AAAGGGA	STREME-5
 -47.0	6
 -46.0	5
 -45.0	1
 -44.0	11
 -43.0	5
 -42.0	7
 -41.0	6
 -40.0	3
 -39.0	11
 -38.0	9
 -37.0	4
 -36.0	10
 -35.0	5.5
 -34.0	16
 -33.0	2
 -32.0	8
 -31.0	4
 -30.0	6
 -29.0	8
 -28.0	12
 -27.0	5
 -26.0	5
 -25.0	5
 -24.0	11
 -23.0	11
 -22.0	10.5
 -21.0	11
 -20.0	2
 -19.0	8.5
 -18.0	13
 -17.0	12
 -16.0	5
 -15.0	11
 -14.0	11
 -13.0	11
 -12.0	13.5
 -11.0	13
 -10.0	9
  -9.0	9.5
  -8.0	12
  -7.0	8
  -6.0	7
  -5.0	8
  -4.0	9
  -3.0	7
  -2.0	9.5
  -1.0	9
   0.0	5
   1.0	10
   2.0	14
   3.0	11
   4.0	6
   5.0	9.5
   6.0	7.5
   7.0	13
   8.0	11
   9.0	9.5
  10.0	8
  11.0	13
  12.0	12
  13.0	8
  14.0	7
  15.0	10
  16.0	13
  17.0	8.5
  18.0	11
  19.0	8
  20.0	6
  21.0	5.5
  22.0	6
  23.0	8
  24.0	7
  25.0	12.5
  26.0	11.5
  27.0	11
  28.0	10
  29.0	12
  30.0	7
  31.0	4
  32.0	6
  33.0	5
  34.0	7.5
  35.0	6.5
  36.0	7
  37.0	10
  38.0	11.5
  39.0	9
  40.0	8
  41.0	4
  42.0	6
  43.0	5
  44.0	6
  45.0	12
  46.0	4
  47.0	5
DB 2 MOTIF	UP00027_2	Osr1_secondary
 -42.5	11
 -41.5	11
 -40.5	5
 -39.5	13
 -38.5	15
 -37.5	9
 -36.5	14
 -35.5	10
 -34.5	18
 -33.5	16
 -32.5	10
 -31.5	11
 -30.5	7
 -29.5	15
 -28.5	12
 -27.5	14
 -26.5	11
 -25.5	10
 -24.5	13
 -23.5	16
 -22.5	7
 -21.5	11
 -20.5	12
 -19.5	7
 -18.5	10
 -17.5	16
 -16.5	11
 -15.5	6
 -14.5	15
 -13.5	10
 -12.5	17
 -11.5	13
